,actor,rev_sum,grade_sum,appearances,score,score_epfl,gender,cluster
18192,Raza_Jaffrey,20076744.18604651,6.372958153945721,1.0,18.667136447675876,3.9742215982440072,M,0
18193,Sarah-Jeanne_Labrosse,20076744.18604651,6.372958153945721,1.0,18.667136447675876,3.9742215982440072,F,0
18194,Josef_Altin,20076744.18604651,6.372958153945721,1.0,18.667136447675876,3.9742215982440072,M,0
18195,Lalita_Ahmed,20076744.18604651,6.372958153945721,1.0,18.667136447675876,3.9742215982440072,F,0
18196,Megan_Park,6174327.9069767445,4.935973488745532,2.0,17.232460509168252,3.472568135186426,F,2
18197,Jake_Epstein,6110448.837209302,5.172266343531083,1.0,17.268821744680952,3.4852823232663996,M,2
18198,Jonathan_Malen,19251535.876937985,4.6790586276301624,2.0,18.31619834308463,3.8515114371812995,M,0
18199,Ishan_Dave,6110448.837209302,5.172266343531083,1.0,17.268821744680952,3.4852823232663996,M,2
18200,Mark_Rendall,42803637.919170804,5.122835568437896,3.0,19.205841762760517,4.162587053902829,M,0
18201,Lauren_Collins,6110448.837209302,5.172266343531083,1.0,17.268821744680952,3.4852823232663996,F,2
18202,Benz_Antoine,2804904.651162791,4.075524404118277,2.0,16.25187953044625,3.1296949952800155,M,2
18203,Elle_Downs,5556251.162790698,4.501022033281815,1.0,17.034738677016335,3.4034320751474767,F,2
18204,Cat_Power,25545205.81395349,4.86665614065028,1.0,18.63836729479568,3.9641620825135107,F,0
18205,Chad_R._Davis,25545205.81395349,4.86665614065028,1.0,18.63836729479568,3.9641620825135107,M,0
18206,Benjamin_Kanes,25545205.81395349,4.86665614065028,1.0,18.63836729479568,3.9641620825135107,M,0
18207,Liam_James,292473582.94186527,4.775759591356713,3.0,21.057437943834152,4.81002220736752,M,1
18208,Quinn_Lord,9939224.418604651,5.578233897227176,1.0,17.830871769712626,3.681810566266023,M,0
18209,Micah_Berry,9939224.418604651,5.578233897227176,1.0,17.830871769712626,3.681810566266023,M,0
18210,Brooke_Tansley,169647002.3255814,5.07448412681087,1.0,20.57345524915222,4.640791241453581,F,0
18211,Scott_Porter,103528908.40074205,4.8433013432256375,4.0,20.032958023804916,4.451799220613992,M,1
18212,Haley_Bennett,48406859.0276713,4.177722789494116,4.0,19.12491838797776,4.134291123015256,F,1
18213,Daniel_Stewart_Sherman,84916696.66840868,4.638089059547331,2.0,19.791483735500716,4.367364534204478,M,0
18214,Tony_Alcantar,20348837.209302325,4.486899055892279,1.0,18.329696158353794,3.8562311272463123,M,2
18215,Keegan_DeWitt,17936.04651162791,3.4291035653177704,1.0,11.026866614308531,1.3026999551125171,M,2
18216,Joe_Swanberg,54608.127422480626,3.9396569945775113,2.0,12.279031666853255,1.7405360671352472,M,2
18217,C._Mason_Wells,17936.04651162791,3.4291035653177704,1.0,11.026866614308531,1.3026999551125171,M,2
18218,Russell_Brand,139795286.93807805,5.218426756768951,10.0,20.407885643182432,4.582897633578465,M,1
18219,Ronni_Ancona,24600313.95348837,5.2041656002252665,1.0,18.66772914502096,3.9744288427287904,F,0
18220,John_Voce,24600313.95348837,5.2041656002252665,1.0,18.66772914502096,3.9744288427287904,M,0
18221,Larry_Thomas,170629.06976744186,4.37239720940263,1.0,13.522558715961,2.175351786732235,M,2
18222,Lindsay_Hollister,170629.06976744186,4.37239720940263,1.0,13.522558715961,2.175351786732235,F,2
