,actor,rev_sum,grade_sum,appearances,score,score_epfl
1762,Michael_Dolan,205987165.63140377,17.669303872168598,4.0,22.0151533115794,4.087371322099963
1763,Robert_Walker,32727272.727272727,9.404831184873263,2.0,19.544942829699533,3.444004353122456
1764,Ted_de_Corsia,276972727.27272725,32.71002465279202,9.0,22.927111197032715,4.324890992955189
1765,Glenn_Strange,40454545.45454545,8.30160538073521,3.0,19.63213848279727,3.4667144838797395
1766,Sally_Forrest,16363636.363636363,3.0778360826653843,1.0,17.734798915560052,2.9725518951251395
1767,Hugh_O'Brian,558433815.9554732,25.090430379956345,7.0,23.363133179915412,4.438453032948364
1768,Michael_Tolan,638937863.2167832,19.06616441857537,4.0,23.223233034638902,4.402016003356634
1769,Bob_Steele,18181818.181818184,4.675513190464101,1.0,18.25827158179124,3.1088904885714097
1770,Roy_Roberts,98409090.90909092,16.86738632741577,5.0,21.230025699390968,3.882884629237332
1771,Robert_O._Cornthwaite,105139860.13986014,16.416863916282963,3.0,21.269111117209857,3.8930644365767537
1772,Margaret_Sheridan,30454545.454545453,9.445452141211476,2.0,19.477279187758057,3.426381339802256
1773,Douglas_Spencer,287730681.8181818,24.75049988362448,5.0,22.68638115414412,4.262192790040432
1774,Dewey_Martin,115454545.45454545,21.468723391123216,5.0,21.630984614616732,3.987314484047516
1775,Paul_Frees,1975541696.095571,32.7251180568715,6.0,24.892251393529936,4.836712273413089
1776,William_Self,17727272.727272727,6.362473874928558,1.0,18.541032119496258,3.182535544903323
1777,Eduard_Franz,126060606.06060606,28.179402698254023,8.0,21.990864660053436,4.081045336428929
1778,John_Dierkes,236818181.8181818,19.34161483540738,4.0,22.24506222307004,4.147251158499201
1779,George_Fenneman,17727272.727272727,6.362473874928558,1.0,18.541032119496258,3.182535544903323
1780,Glynis_Johns,1465496907.6278617,39.42662481715842,9.0,24.7799015528627,4.807450727894839
1781,Ned_Glass,451168159.44055945,15.828304400060741,3.0,22.689150442125566,4.2629140518227455
1782,Hugh_Sanders,11363636.363636363,4.450219469920093,1.0,17.738882436513375,2.973615449230252
1783,Jane_Wyman,277899854.7785548,29.353732155445517,9.0,22.822191070657063,4.297564518476111
1784,Patty_McCormack,106781376.01010102,19.604713969711383,4.0,21.462064133333826,3.943319100318717
1785,Walter_McGrail,23181818.181818184,3.230072007527618,1.0,18.131383260662606,3.0758423919974494
1786,Carl_Harbaugh,25909090.90909091,3.312682908035235,1.0,18.267862872742533,3.1113885428194905
1787,Mari_Aldon,73636363.63636364,12.241843705108284,3.0,20.619509428075393,3.723875505978801
1788,Mary_Wickes,1250779767.7438662,40.475498047549266,9.0,24.647729812518584,4.773026563398151
1789,Jack_Smith,22727272.727272727,3.754595438591389,1.0,18.262056743050167,3.1098763348157314
1790,Radha,9090909.090909092,5.084208934955105,1.0,17.648924920205427,2.950185990474274
1791,Adrienne_Corri,165498879.67914438,11.899868568394817,2.0,21.40100233883196,3.927415539898597
1792,John_Grant,14090909.090909092,1.3101767476031545,1.0,16.731202452031546,2.7111649325350093
1793,Nancy_Guild,30454545.454545453,3.8023894190115834,2.0,18.56737548059163,3.1893966802215212
1794,Lou_Costello,82727272.72727272,18.41051652906044,6.0,21.14398193651138,3.860474508589989
1795,Bud_Abbott,82727272.72727272,18.41051652906044,6.0,21.14398193651138,3.860474508589989
