,actor,grade_avg,grade_sum,appearances,gender,year_avg,birth_year,main_genre,2nd_genre,director,2nd_director,treatment,propensity_score
1242,Jil_Jarmyn,2.064834578,4.129669156,2,F,1972,1926,Adventure,Crime,Charles_Lamont,H._Bruce_Humberstone,0,0.392736357
981,Dorothy_McGuire,3.481556729,250.6720845,72,F,2011,1916,Romance,Family,Elia_Kazan,Edmund_Goulding,1,0.373692005
1110,Joan_Cusack,4.384652548,162.2321443,37,F,1969,1962,Drama,Romance,Garry_Marshall,Lee_Unkrich,1,0.385709375
1046,Kenneth_Thomson,2.022710826,58.65861395,29,M,1956.178571,1899,Romance,Drama,William_Dieterle,Lloyd_Bacon,1,0.380370021
1220,Lillian_Hall-Davis,1.782398099,14.25918479,8,F,1986,1898,Drama,Romance,Alfred_Hitchcock,Adrian_Brunel,0,0.391298392
1245,Marianne_Koch,2.445716315,68.48005683,28,F,2001,1931,Drama,Mystery,Alfonso_Balcázar,Sergio_Leone,1,0.393164274
1235,Annie_Sprinkle,1.458229386,78.74438684,54,F,1998,1954,Comedy,Horror,Zebedy_Colt,Ralph_Ell,1,0.391483732
1241,Charlotte_Wynters,1.805444082,32.49799348,18,F,2008,1899,Adventure,Crime,Charles_Lamont,D.W._Griffith,1,0.392736357
1068,Bill_Elliott,1.742291543,517.4605883,297,M,2001,1904,Drama,Adventure,Lambert_Hillyer,Joseph_Kane,1,0.383285227
1190,Shirley_Deane,1.256260852,16.33139107,13,F,2005.125,1913,Comedy,Drama,Frank_R._Strayer,Malcolm_St._Clair,1,0.389134119
1050,Paul_Giamatti,4.462491601,187.4246472,42,M,1969,1967,Drama,Comedy,Marc_Webb,Shawn_Levy,1,0.381043416
1180,Kara_Wai,2.121830761,114.5788611,54,F,2005,1960,Comedy,Drama,Chia-Liang_Liu,Lieh_Lo,1,0.388524267
1038,Kristy_Swanson,2.469825243,96.32318447,39,F,2019.25,1969,Drama,Comedy,Wes_Craven,Stewart_Raffill,1,0.379797086
938,Lon_McCallister,2.217427484,35.47883974,16,M,1997,1923,Drama,Music,David_Butler,Delmer_Daves,1,0.369105602
996,Mackenzie_Foy,5.992334826,47.93867861,8,F,2016.333333,2000,Drama,Family,Christopher_Nolan,Ashley_Avis,0,0.377750389
936,Allyn_Ann_McLerie,2.893821812,8.681465435,3,F,2009.666667,1926,Drama,Musical,David_Butler,Alain_Corneau,0,0.369105602
1154,Carleton_Young,1.445150234,39.01905633,27,M,2014.6,1905,Adventure,,Sam_Newfield,Harry_S._Webb,1,0.387800477
1063,Arthur_Hohl,2.123113835,67.93964272,32,M,1991.1,1889,Drama,Mystery,Lambert_Hillyer,Albert_S._Rogell,1,0.383285227
1141,Marion_Davies,2.837544948,139.0397025,49,F,2019,1897,Romance,Musical,Robert_Z._Leonard,Robert_G._Vignola,1,0.387543506
1029,Henri_Guisol,2.059754159,26.77680407,13,M,2018,1904,Drama,Mystery,Jean_Delannoy,André_Hunebelle,1,0.379454475
1024,Michèle_Morgan,2.64422592,108.4132627,41,F,1970.5,1920,Drama,Crime,Jean_Delannoy,Mark_Robson,1,0.379454475
991,Christian_Bale,6.113748931,476.8724166,78,M,1971.5,1974,Drama,Crime,Christopher_Nolan,McG,1,0.377750389
1104,Nicole_Kidman,4.673075184,378.5190899,81,F,2019,1967,Drama,Mystery,Joel_Schumacher,Noah_Baumbach,1,0.38567111
1209,Gordon_Harker,1.9242338,42.33314361,22,M,1949,1885,Drama,Mystery,Alfred_Hitchcock,Maurice_Elvey,1,0.391298392
1069,Mayo_Methot,1.649427679,14.84484911,9,F,2002.142857,1904,Drama,Crime,Lambert_Hillyer,Nick_Grinde,1,0.383285227
1148,Mae_Clarke,2.312850186,124.8939101,54,F,1935.473684,1910,Drama,Crime,Archie_Mayo,William_K._Howard,1,0.387589202
1120,Sydne_Rome,1.999338314,31.98941303,16,F,2005.5,1951,Adventure,Drama,Alberto_De_Martino,Otto_Schenk,1,0.385816358
1065,Robert_Ellis,1.38855975,162.4614908,117,M,1994,1892,Drama,Romance,Lambert_Hillyer,D._Ross_Lederman,1,0.383285227
939,Otto_Preminger,3.310589252,19.86353551,6,M,1996.666667,1905,Drama,War,David_Butler,Billy_Wilder,0,0.369105602
1149,Mary_Astor,2.694985164,245.2436499,91,F,2009.761905,1906,Drama,Romance,Archie_Mayo,Edmund_Goulding,1,0.387589202
1186,Monaei_Lindley,1.933960789,1.933960789,1,F,2002,1908,Comedy,,Frank_R._Strayer,,0,0.389134119
1206,Derrick_De_Marney,2.446849633,34.25589486,14,M,1972,1906,Drama,Mystery,Alfred_Hitchcock,John_Paddy_Carstairs,1,0.391298392
970,Victoria_Shaw,2.625618219,84.01978302,32,F,1999,1935,Drama,Western,Don_Siegel,J._Lee_Thompson,1,0.372277671
1086,Edith_Roberts,1.688357667,15.195219,9,F,2021,1899,Drama,Mystery,Irving_Cummings,Cecil_B._DeMille,1,0.383748729
1199,Jim_Moody,4.698069139,4.698069139,1,M,1978,1949,Drama,,Rick_Rosenthal,,0,0.39103198
1214,Percy_Marmont,2.331131363,30.30470772,13,M,1936,1883,Drama,Mystery,Alfred_Hitchcock,Tom_Terriss,1,0.391298392
956,Pak-Cheung_Chan,1.76274255,47.59404885,27,M,2001,1958,Romance,Comedy,Jing_Wong,Shu-Kai_Chung,1,0.371469282
1026,Jacques_Morel,2.44465348,12.2232674,5,M,2007,1922,Drama,Adventure,Jean_Delannoy,Raoul_André,0,0.379454475
1217,Ivor_Novello,2.585580199,31.02696238,12,M,2016,1893,Drama,Romance,Alfred_Hitchcock,Adrian_Brunel,1,0.391298392
1004,Renée_Adorée,2.533624742,38.00437114,15,F,2009,1898,Drama,Romance,Tod_Browning,Charles_Brabin,1,0.378137374
1232,Jessica_Tandy,4.007251359,88.1595299,22,F,2015,1909,Drama,Horror,Alfred_Hitchcock,Robert_Benton,1,0.391298392
